name,calories,calories,protein,fat,carbohydrate,fiber,sodium,portion_size,serving_unit,food_category,allergens,glycemic_index
"MILK, SKIM ",0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.08,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, 1%",0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.11,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.05,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.08,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.11,0.0,0.0,0.0,,,Uncategorized,None,0
"MILK, SKIM ",0.0,0.0,0.0,0.04,0.0,0.0,0.0,,,Uncategorized,None,0
